! THESE DATA ARE UNOFFICIAL AND PROVISIONAL
Station_Id|Name|Latitude|Longitude|Elevation|Physical_Element|DateTime_Report(UTC)|Amount|Amount_Units|Duration|Duration_Units|Zip_Code|
0001H_MADIS|MARTHASVILLE 6.2 ENE, MO|38.67595|-90.95620|257 meters|snowfall|2013-02-25 13:00|0.000|cm|24.000|hours|63357|
0002H_MADIS|O'FALLON 5.1 SW, MO|38.74170|-90.78460|185 meters|snowfall|2013-02-25 13:00|0.000|cm|24.000|hours|63366|
0002R_MADIS|SALINA 7.0 N, KS|38.91616|-97.59990|406 meters|snowfall|2013-02-25 13:00|6.350|cm|24.000|hours|67401|
0006O_MADIS|BLOUNT COUNTY, AL|33.80290|-86.56010|326 meters|snowfall|2013-02-25 12:00|0.000|cm|24.000|hours|35133|
0010H_MADIS|KIRKWOOD 1.6 S, MO|38.55800|-90.42430|197 meters|snowfall|2013-02-25 13:00|0.000|cm|24.000|hours|63122|
0010R_MADIS|RANGELEY 0.1 NW, ME|44.96706|-70.64400|471 meters|snowfall|2013-02-25 12:00|9.144|cm|24.000|hours|04970|
0013B_MADIS|WINDSOR 0.8 SSW, CO|40.47389|-104.91060|1463 meters|snowfall|2013-02-25 15:00|5.080|cm|24.000|hours|80550|
0013R_MADIS|ROCKPORT 2.8 SW, ME|44.15192|-69.11160|43 meters|snowfall|2013-02-25 13:00|15.494|cm|24.000|hours|04856|
0017C_MADIS|NORTHGLENN 3.8 NNE, CO|39.93640|-104.95620|1612 meters|snowfall|2013-02-25 16:00|10.160|cm|24.000|hours|80241|
0018B_MADIS|PALM BEACH COUNTY, FL|26.71404|-80.30700|15 meters|snowfall|2013-02-25 12:00|0.000|cm|24.000|hours|33470|
0018R_MADIS|WINTERPORT 2.9 N, ME|44.69369|-68.84800|10 meters|snowfall|2013-02-25 12:00|6.096|cm|24.000|hours|04496|
0021R_MADIS|HASTINGS 4.3 SSW, MI|42.59178|-85.31610|276 meters|snowfall|2013-02-25 13:00|0.000|cm|24.000|hours|49058|
0022B_MADIS|MORRIS 6.4 ESE, IL|41.33153|-88.31410|166 meters|snowfall|2013-02-25 13:00|0.000|cm|24.000|hours|60450|
0025H_MADIS|SHELL KNOB 5.6 ESE, MO|36.59308|-93.54800|302 meters|snowfall|2013-02-25 13:00|0.000|cm|24.000|hours|65747|
0026C_MADIS|THORNTON 7.5 ENE, CO|39.91370|-104.84240|1547 meters|snowfall|2013-02-25 14:00|15.240|cm|24.000|hours|80640|
0027C_MADIS|THORNTON 5.4 NNE, CO|39.94170|-104.93530|1615 meters|snowfall|2013-02-25 14:00|15.240|cm|24.000|hours|80241|
0029B_MADIS|ANGOLA 1.2 S, IN|41.62494|-85.00180|316 meters|snowfall|2013-02-25 11:00|0.000|cm|24.000|hours|46703|
